"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.000354, 1, 0.000354, sp-clause-activity-inc='1.0', sp-clause-decay='1.4', sp-clause-del-heur=''2'', sp-first-restart='100', sp-learned-clause-sort-heur=''0'', sp-learned-clauses-inc='1.3', sp-learned-size-factor='0.4', sp-orig-clause-sort-heur=''0'', sp-phase-dec-heur=''5'', sp-rand-var-dec-freq=''0.001'', sp-resolution=''1'', sp-restart-inc='1.5', sp-update-dec-queue=''1'', sp-use-pure-literal-rule=''1'', sp-var-activity-inc='1.0', sp-var-dec-heur=''0'', sp-variable-decay='1.4', sp-max-res-lit-inc='1.0', sp-max-res-runs='4', sp-rand-phase-dec-freq=''0.001'', sp-rand-var-dec-scaling='1.0', sp-res-cutoff-cls='8', sp-res-cutoff-lits='400', sp-res-order-heur=''0'', sp-rand-phase-scaling='1.0'
0.214710, 0.018223, 27.715239, 1, 27.500529, sp-clause-activity-inc='0.6344667123857157', sp-clause-decay='1.9545553670212605', sp-clause-del-heur=''0'', sp-first-restart='42', sp-learned-clause-sort-heur=''8'', sp-learned-clauses-inc='1.3637807738268433', sp-learned-size-factor='0.9045107247697929', sp-orig-clause-sort-heur=''1'', sp-phase-dec-heur=''0'', sp-rand-var-dec-freq=''0.001'', sp-resolution=''2'', sp-restart-inc='1.6256255957292618', sp-update-dec-queue=''1'', sp-use-pure-literal-rule=''0'', sp-var-activity-inc='0.7795203367721831', sp-var-dec-heur=''14'', sp-variable-decay='1.3805846348618949', sp-max-res-lit-inc='1.9449407963671381', sp-max-res-runs='19', sp-rand-phase-dec-freq=''0.001'', sp-rand-var-dec-scaling='0.6457428689908321', sp-res-cutoff-cls='2', sp-res-cutoff-lits='602', sp-res-order-heur=''7'', sp-rand-phase-scaling='0.37224865523946626'
0.668364, 0.018183, 109.956435, 2, 109.288071, sp-clause-activity-inc='0.6341684953370115', sp-clause-decay='1.4483423393862498', sp-clause-del-heur=''0'', sp-first-restart='27', sp-learned-clause-sort-heur=''9'', sp-learned-clauses-inc='1.2229524670710852', sp-learned-size-factor='1.3476990994578542', sp-orig-clause-sort-heur=''12'', sp-phase-dec-heur=''4'', sp-rand-var-dec-freq=''0.05'', sp-resolution=''2'', sp-restart-inc='1.6824951306591167', sp-update-dec-queue=''0'', sp-use-pure-literal-rule=''0'', sp-var-activity-inc='0.6043780206999324', sp-var-dec-heur=''4'', sp-variable-decay='1.746721703524285', sp-max-res-lit-inc='0.4357907702994575', sp-max-res-runs='2', sp-rand-phase-dec-freq=''0.0001'', sp-rand-var-dec-scaling='1.0150223602145294', sp-res-cutoff-cls='2', sp-res-cutoff-lits='657', sp-res-order-heur=''11'', sp-rand-phase-scaling='0.5184029935526'
1.217659, 0.016229, 215.834730, 3, 214.617071, sp-clause-activity-inc='0.9910833088013963', sp-clause-decay='1.3348478942079562', sp-clause-del-heur=''0'', sp-first-restart='161', sp-learned-clause-sort-heur=''4'', sp-learned-clauses-inc='1.4862511342653772', sp-learned-size-factor='1.3889617799634035', sp-orig-clause-sort-heur=''17'', sp-phase-dec-heur=''4'', sp-rand-var-dec-freq=''0.0001'', sp-resolution=''1'', sp-restart-inc='1.158027050556822', sp-update-dec-queue=''0'', sp-use-pure-literal-rule=''0'', sp-var-activity-inc='1.3487402008902887', sp-var-dec-heur=''18'', sp-variable-decay='1.3315459643721135', sp-max-res-lit-inc='0.7738526325948372', sp-max-res-runs='15', sp-rand-phase-dec-freq=''0'', sp-rand-var-dec-scaling='0.3989642099913439', sp-res-cutoff-cls='2', sp-res-cutoff-lits='984', sp-res-order-heur=''17''
